text,label
"['di', 'match', 'ini', 'patrik', 'star', 'sada', 'betul', 'bahwa', 'taktik', 'total', 'football', 'kemarin', 'adalah', 'blunder', 'terbesar', 'ketika', 'lawan', 'bahrain', 'taktik', 'di', 'ubah', 'mengembalikan', 'dan', 'mengandalkan', 'lini', 'pertahanan', 'yang', 'solid', 'lalu', 'counter', 'attack', 'bagus', 'kalau', 'patrik', 'belajar', 'dari', 'pertandingan', 'sebelumnya', 'sih', 'ini', 'june']",Positif
"['salah', 'satu', 'lineup', 'terbaik']",Positif
"['tersisa', 'dua', 'pertandingan', 'kita', 'tuntaskan']",Positif
"['ini', 'the', 'end', 'pemain', 'diaspora', 'adalah', 'anak', 'bangsa', 'indonesia', 'sama', 'seperti', 'pemain', 'liga', 'lokal', 'tapi', 'terlatih', 'dengan', 'mentalitas', 'yang', 'kuat', 'dan', 'sikap', 'yang', 'bagus', 'harusnya', 'jadi', 'motivasi', 'yang', 'bagus', 'sbgma', 'yang', 'dirasakan', 'oleh', 'rizki', 'dan', 'kambuaya']",Positif
"['adanya', 'pemain', 'diaspora', 'membuat', 'para', 'pemain', 'liga', 'lokal', 'harus', 'bersikap', 'dan', 'bermentalitas', 'seperti', 'yang', 'sudah', 'dicontohkan', 'rizki', 'dan', 'kambuaya', 'pemain', 'liga', 'lokal', 'yang', 'berwatak', 'lembek', 'suka', 'cuap', 'cuap', 'di', 'media', 'siap', 'tersingkir']",Positif
"['semua', 'pemain', 'liga', 'lokal', 'harus', 'mencontoh', 'bagaimana', 'rizki', 'ridho', 'dan', 'ricky', 'kambuaya', 'bersikap', 'dan', 'bermentalitas', 'tidak', 'cepat', 'puas', 'diri', 'siap', 'dipanggil', 'dan', 'legowo', 'saat', 'diparkir', 'tidak', 'mengambek', 'dan', 'siap', 'menjadi', 'lebih', 'baik', 'saat', 'latihan']",Positif
"['ini', 'adalah', 'starting', 'terbaik', 'no', 'debat']",Positif
"['skuad', 'ini', 'sudah', 'klopp', 'banget']",Positif
"['the', 'legend', 'the', 'myth', 'ricky', 'kambuaya', 'mi', 'idolo']",Positif
"['lets', 'go', 'semangat']",Positif
"['semangat', 'eli', 'terus', 'belajar', 'dan', 'berkembang', 'lagi']",Positif
"['menyala', 'timnas', 'indonesiaku']",Positif
"['good', 'game', 'eli', 'semangat', 'terus', 'sayank']",Positif
"['setuju', 'tidak', 'sih', 'ini', 'winning', 'team', 'ya', 'timnas', 'indonesia']",Positif
"['bisa', 'jadi', 'supersub', 'ini', 'orangmainnya', 'taktis']",Positif
"['istimewa', 'timnas', 'indonesia', 'perjalanan', 'masih', 'panjang', 'tapi', 'penampilan', 'semalam', 'sudah', 'jauh', 'lebih', 'baik', 'amp', 'sangat', 'patut', 'dipuji', 'optimis', 'ke', 'piala', 'dunia', 'bisa']",Positif
"['mari', 'ucapkan', 'alhamdulillah', 'untuk', 'timnas', 'indonesia', 'sudah', 'meraih', 'kemenangan', 'hari', 'ini']",Positif
"['mantap', 'adek', 'adek', 'awak']",Positif
"['kakak', 'riki', 'bagus', 'mainnya']",Positif
"['sepakatga', 'boleh', 'ada', 'unsur', 'yang', 'bisa', 'membawa', 'malah', 'amburadul', 'kedepannya', 'olahraga', 'bukan', 'ajang', 'politik', 'sara', 'dan', 'sumpah', 'serapah', 'keep', 'up', 'the', 'positive', 'vibes', 'on']",Positif
"['semangat', 'eliano']",Positif
"['kuncinya', 'satu', 'turunkan', 'dia', 'dari', 'bangku', 'cadangan', 'karena', 'dia', 'lebih', 'tau', 'harus', 'bagaimana', 'kalau', 'sudah', 'mengamati', 'jalannya', 'pertandingan', 'dulu', 'baru', 'main', 'jadi', 'kalau', 'turun', 'dari', 'starter', 'menurutku', 'agak', 'tidak', 'gong', 'saja', 'sih', 'mainnya', 'dia']",Positif
"['memang', 'tidak', 'pernah', 'gagal']",Positif
"['kemenangan', 'kemenangan', 'ratusan', 'juta', 'jiwa']",Positif
"['eliano', 'itu', 'bagus', 'kenapa', 'ya', 'pelatih', 'sebelumnya', 'tidak', 'pernah', 'mainin', 'sih', 'eliano', 'ini']",Positif
"['proud', 'of', 'you', 'eli', 'jean', 'and', 'deansemoga', 'next', 'match', 'bisa', 'cetak', 'goal', 'ya', 'eli']",Positif
"['poin', 'tidak', 'jadi', 'jika', 'ridho', 'tidak', 'menghalau', 'bola', 'dengan', 'kepalanya', 'penyelamatan', 'penting']",Positif
"['seperti', 'biasa', 'elianooo', 'salam', 'sama', 'pemain', 'lain']",Positif
"['masih', 'belum', 'bisa', 'moveon', 'perfect', 'banget', 'sih', 'tidak', 'kecewa', 'blas', 'skema', 'yang', 'ini']",Positif
"['kambuaya', 'apa', 'bellingham', 'ini', 'gacor', 'banget', 'semalem']",Positif
"['timnas', 'lagi', 'gacor', 'ui', 'sangat', 'exicited', 'banget']",Positif
"['line', 'up', 'terbaik', 'saat', 'ini']",Positif
"['kelas', 'banget', 'indonesia', 'ku']",Positif
"['ini', 'pemain', 'kalau', 'lagi', 'tenang', 'mainnya', 'bagus', 'banget', 'teknik', 'ada', 'stamina', 'ada', 'gaya', 'raprap', 'ya', 'juga', 'ada']",Positif
"['gol', 'ya', 'simpan', 'buat', 'nanti', 'juni', 'ya', 'el']",Positif
"['kakak', 'ricky', 'definisi', 'diam', 'dan', 'bermainlah']",Positif
"['pemain', 'yang', 'semalem', 'bersinar', 'banget', 'kakak', 'ricky']",Positif
"['ricky', 'kambuayaaa', 'tendangan', 'dari', 'timur']",Positif
"['sumpah', 'kakak', 'ricky', 'bagus', 'banget', 'mainnya']",Positif
['mantap'],Positif
"['hormat', 'kepada', 'pssi', 'yang', 'sudah', 'mengambil', 'tindakan', 'yang', 'benar']",Positif
"['hormat', 'kepada', 'kakak', 'ricky']",Positif
"['diam', 'dan', 'bermainlah', 'kakak', 'ricky', 'penampilanmu', 'keren', 'tadi', 'malam']",Positif
"['salah', 'satu', 'momen', 'yang', 'ingin', 'diulang', 'lagi', 'tapi', 'untuk', 'pertandingan', 'selanjutnya', 'forza', 'garuda']",Positif
"['tidak', 'melulu', 'tetang', 'pemain', 'abroad', 'dan', 'riski', 'ridho', 'kambuaya', 'juga', 'membuktikan', 'kaualitasnya']",Positif
"['tunjukkan', 'aura', 'rizki', 'rido', 'abang', 'jay', 'dan', 'justin', 'tembok', 'beton', 'itu', 'sekarang']",Positif
"['main', 'tampil', 'bagus', 'pulang']",Positif
"['kakak', 'ricky', 'wajib', 'starting', 'sih', 'gila']",Positif
"['berekspektasi', 'boleh', 'saja', 'tapi', 'jangan', 'tinggi', 'kenapa', 'tau', 'sendiri', 'kan', 'habit', 'suporter', 'kita', 'yang', 'penting', 'pas', 'lawan', 'china', 'kita', 'wajib', 'menang', 'hukumnya', 'wajib', 'setidaknya', 'posisi', 'no', 'untuk', 'ke', 'playoff', 'masih', 'ada']",Positif
"['selebrasi', 'ole', 'akan', 'jadi', 'gaya', 'wajib', 'ketika', 'foto', 'lebaran', 'nanti']",Positif
"['bangga', 'banget', 'bangga', 'banget', 'makasii', 'ya', 'dah', 'berjuang', 'matian', 'buat', 'indonesia', 'selamat', 'menikmati', 'point']",Positif
"['keren', 'rizky', 'ridho']",Positif
"['lanjutkan', 'terus', 'ole']",Positif
"['sangat', 'layak']",Positif
"['selamat', 'buat', 'para', 'pemain', 'dan', 'staff', 'pelatih', 'terima', 'kasih', 'pssi', 'juga']",Positif
"['hubner', 'terbaik', 'wkwkwkwk']",Positif
"['pokoknya', 'senang', 'buat', 'rakyat', 'indonesia', 'poin']",Positif
"['menit', 'kita', 'melupakan', 'segala', 'permasalahan', 'dinegeri', 'ini', 'terimakasih', 'untuk', 'kalia', 'yang', 'sudah', 'berjuang', 'sepenuh', 'hati']",Positif
"['semalam', 'tidur', 'nyenyak', 'karena', 'timnas', 'menang']",Positif
"['faktor', 'kelelahan', 'akan', 'mengakibatkan', 'hal', 'yang', 'tidak', 'sesuai', 'dan', 'ituwajarbisa', 'dimaklumi']",Positif
"['duh', 'sih', 'ganteng', 'keren', 'banget', 'smlm', 'mainy', 'yeeaayy', 'akhirny', 'bisa', 'poin']",Positif
"['bagaimana', 'paes', 'tidak', 'merasa', 'lebih', 'aman', 'kalau', 'trio', 'coba', 'ini', 'main', 'cara', 'mereka', 'pindah', 'dari', 'mode', 'menyerang', 'ke', 'bertahan', 'serapi', 'ini', 'bahrain', 'menyerang', 'dari', 'sayap', 'kanan', 'mereka', 'langsung', 'on', 'position', 'ridho', 'ngejar', 'jay', 'intercept', 'kalau', 'jay', 'gagal', 'justin', 'sudah', 'standby']",Positif
"['untuk', 'urusan', 'sepak', 'bola', 'indonesia', 'saat', 'ini', 'sedang', 'bersuka', 'cita', 'berkat', 'kemenangan', 'atas', 'bahrain', 'semalam', 'untuk', 'urusan', 'politik', 'dan', 'ekonomi', 'indonesia', 'saat', 'ini', 'masih', 'dalam', 'keadaan', 'gelap', 'garagara', 'dan', 'danantara']",Positif
"['good', 'job', 'timnas', 'indonesia', 'semoga', 'tuhan', 'berkehendak']",Positif
"['terima', 'kasih', 'untuk', 'perjuangan', 'tak', 'kenal', 'lelahnya', 'rizky', 'ridho', 'terima', 'kasih', 'persija', 'jakarta', 'sudah', 'menyumbang', 'pemain', 'hebat', 'sekelas', 'rizky', 'ridho', 'untuk', 'timnas']",Positif
"['yang', 'lelah', 'biarlah', 'menepi', 'yang', 'cinta', 'tetaplah', 'berdiri']",Positif
"['pssi', 'sudah', 'benar', 'mengambil', 'tindakan', 'dengan', 'mengganti', 'pelatih']",Positif
"['terima', 'kasih', 'atas', 'kerja', 'kerasnya', 'untuk', 'para', 'pemain']",Positif
"['pemain', 'eropa', 'khususnya', 'verdonk', 'yang', 'selalu', 'lari', 'walaupun', 'sudah', 'capek']",Positif
"['sosok', 'yang', 'sangat', 'penting', 'menurut', 'admin', 'dalam', 'pertandingan', 'tadi', 'malam', 'joey', 'pelupessy', 'duetnya', 'dengan', 'thom', 'haye', 'dilini', 'tengah', 'membuat', 'lini', 'tengah', 'sangat', 'balance', 'dari', 'transisi', 'menyerang', 'ke', 'bertahan', 'atau', 'sebaliknya']",Positif
"['lebaran', 'full', 'senyum', 'om', 'semua', 'bwgembira', 'alhamdulilah']",Positif
"['belum', 'sih', 'dia', 'ini', 'tipikal', 'versi', 'bagusnya', 'struick', 'yang', 'aslinya', 'memang', 'winger', 'hanya', 'saja', 'dia', 'bisa', 'jadi', 'penyerang', 'tengah', 'yang', 'cukup', 'lumayan', 'timnas', 'masih', 'butuh', 'penyerang', 'tengah', 'yang', 'kuat', 'kokoh', 'dan', 'haus', 'gol']",Positif
"['selamat', 'ya']",Positif
"['memang', 'begini', 'seharusnya', 'indonesia']",Positif
"['keren', 'banget', 'woy']",Positif
"['mimpi', 'yang', 'jadi', 'kenyataan']",Positif
"['alhamdulillah', 'selamat', 'istirahat', 'timnas', 'dan', 'official']",Positif
"['alhamdulillah', 'selamat', 'istirahat', 'semuanya']",Positif
"['alhamdulillah', 'selamat', 'istirahattt']",Positif
"['gapapa', 'kalah', 'lawan', 'jepang', 'sudah', 'faktanya', 'jepang', 'di', 'atas', 'indonesia', 'hanya', 'saja', 'kita', 'perlu', 'ambil', 'pelajaran', 'penuh', 'semangat', 'garuda']",Positif
"['alhamdulillah', 'menang']",Positif
"['ya', 'iyalah', 'bangga', 'itu', 'kan', 'artinya', 'sebuah', 'perasaan', 'dalam', 'hati', 'akan', 'sesuatu', 'yang', 'membuat', 'terkesima', 'itu', 'bangga', 'bangga', 'sama', 'timnas', 'saat', 'ini', 'ya', 'karena', 'prestasi', 'yang', 'diraih', 'timnas', 'yang', 'dulu', 'memang', 'tidak', 'buat', 'bangga', 'karena', 'tidak', 'ada', 'pencapaian', 'yang', 'membuat', 'terkesima', 'paham', 'hehehee']",Positif
"['tetap', 'dukung', 'dan', 'menikmati', 'kemenangan']",Positif
"['semangat', 'tam', 'buktikan', 'terus']",Positif
"['mutiara', 'dari', 'ufuk', 'timur', 'indonesia', 'menerjang', 'bagai', 'ombak', 'dan', 'meliukliuk', 'bagaikan', 'arus', 'sungai', 'yang', 'deras', 'maju', 'terus', 'terbangkan', 'setinggitingginya', 'garuda', 'kita', 'all', 'for', 'one', 'one', 'for', 'all']",Positif
"['abang', 'verdonk', 'kualitas', 'grade', 'a', 'mantap']",Positif
"['di', 'rikcy', 'kambuaya', 'mutiara', 'dari', 'ufuk', 'timur', 'indonesia', 'mendapatkan', 'apresiasi', 'dari', 'pelatih', 'atas', 'totalitas', 'dalam', 'bermain', 'melawan', 'china', 'maju', 'terus', 'terbangkan', 'setinggitingginya', 'garuda', 'kita', 'tidak', 'ada', 'yang', 'mustahil', 'pasti', 'bisa']",Positif
"['tetap', 'dukung']",Positif
"['dari', 'sabang', 'sampai', 'merauke', 'kita', 'semua', 'bersatu', 'dukung', 'garuda', 'saat', 'bermain', 'di', 'lapangan', 'rasa', 'cinta', 'tanah', 'air', 'makin', 'membara']",Positif
"['alhamdulillah', 'karena', 'beckham', 'yang', 'awalnya', 'timnas', 'persib', 'jadi', 'timnas', 'indonesia', 'bersatu', 'untuk', 'indonesia', 'good', 'luck', 'timnas', 'indonesia', 'amp', 'sepak', 'bola', 'indonesia']",Positif
"['selamat', 'indonesia', 'masuk', 'round', 'worldcup', 'qualifiers', 'terima', 'kasih', 'semua', 'pemain', 'staff', 'pelatih', 'dan', 'manajerial', 'keep', 'going', 'mudahmudahan', 'dapat', 'bonus', 'prestasi', 'lagi', 'saat', 'lawan', 'jepang', 'amin', 'lolos', 'piala', 'dunia']",Positif
"['ya', 'memang', 'indonesia']",Positif
"['iya', 'dong', 'tidak', 'ada', 'yang', 'tidak', 'siap', 'lebih', 'baik', 'mati', 'hancur', 'lebur', 'di', 'medan', 'pertempuran', 'dari', 'pada', 'mampus', 'diatas', 'tempat', 'tidur', 'gas', 'yuk', 'bisa']",Positif
"['abang', 'simpan', 'pemain', 'inti', 'saat', 'melawan', 'jepang', 'untuk', 'round', 'biarkan', 'pemain', 'pemain', 'baru', 'bermain', 'untuk', 'mencari', 'pengalaman', 'king', 'indonesia']",Positif
"['calvin', 'verdonk', 'harusnya', 'mvp', 'sih']",Positif
"['timnas', 'harus', 'menemukan', 'pemain', 'yang', 'lebih', 'baik', 'di', 'lini', 'depan']",Positif
"['sisi', 'positif', 'yang', 'sudah', 'terlihat', 'dari', 'coach', 'patrick', 'kluivert', 'adalah', 'keberanian', 'dia', 'mencadangkan', 'pemain', 'pemain', 'yang', 'sebelumnya', 'langganan', 'starting', 'line', 'up', 'nama', 'nama', 'seperti', 'sayuri', 'kambuaya', 'beckham', 'mendapatkan', 'kesempatan', 'bermain', 'yang', 'lebih']",Positif
"['waduh', 'respon', 'presiden', 'kita', 'sangat', 'antusias', 'dengan', 'kemenangan', 'timnas', 'kita', 'sampai', 'diundang', 'segala']",Positif
"['terima', 'kasih', 'atas', 'kemenangan', 'kalian', 'kalian', 'sudah', 'membuat', 'kami', 'senang', 'malam', 'ini']",Positif
['siaptempur'],Positif
"['demen', 'banget', 'lihat', 'loopy', 'joey', 'motong', 'bola', 'build', 'up', 'dari', 'pemain', 'cina', 'spontan', 'dan', 'sangarr', 'euyy']",Positif
"['masih', 'amaze', 'banget', 'sama', 'papi', 'emil', 'gila', 'nih', 'orang', 'gacor', 'banget', 'cuy']",Positif
"['pertama', 'tama', 'mau', 'bilang', 'terimakasih', 'ke', 'sudah', 'berjuang', 'melawan', 'cina', 'dan', 'mendapatkan', 'point', 'dan', 'berterimakasih', 'juga', 'kepada', 'presiden', 'yang', 'sudah', 'memberikan', 'apresiasi', 'kepada', 'perjuangan', 'atlet', 'negaranya', 'tetapi', 'sangat', 'disayangkan', 'saja', 'sikap', 'dari', 'seoarang', 'atlet']",Positif
"['garuda', 'terus', 'terbang', 'tinggi', 'bangga', 'berhasil', 'melaju', 'ke', 'babak', 'kualifikasi', 'piala', 'dunia', 'zona', 'asia', 'berikan', 'yang', 'terbaik', 'dan', 'wujudkan', 'mimpi', 'karena', 'sekarang', 'saatnya', 'timnas', 'garuda', 'mendunia']",Positif
"['tidak', 'sia', 'sia', 'naturalisasi', 'pemain', 'yang', 'bernama', 'verdonk']",Positif
"['semoga', 'masih', 'ada', 'ruang', 'untuk', 'terus', 'berkembang', 'amp', 'step', 'up', 'di', 'laga', 'laga', 'besar', 'kedepan']",Positif
"['srigala', 'sananta', 'coook']",Positif
"['ayo', 'pak', 'erick', 'cari', 'lagi', 'buat', 'pengganti', 'ole', 'di', 'lini', 'depan']",Positif
"['kambuaya', 'ini', 'strength', 'ya', 'dribble', 'kuat', 'amp', 'lengket', 'tapi', 'kadang', 'kelebihan', 'ini', 'jadi', 'kurang', 'optimal', 'karena', 'momen', 'yang', 'harus', 'ya', 'passing', 'dia', 'memilih', 'masih', 'dribble', 'decision', 'sehingga', 'momen', 'ya', 'jadi', 'hilang', 'sekarang', 'wah', 'gila', 'fisik', 'passing', 'dribble', 'improve']",Positif
"['menang', 'point', 'di', 'rayakan', 'pengorbanan', 'sapi', 'dan', 'kambing']",Positif
"['beruntung', 'timnas', 'punya', 'pemain', 'eropa', 'yang', 'berkelas']",Positif
"['mantaf', 'bermain', 'luwes', 'dan', 'menguasai', 'taktical', 'menyala', 'ricky']",Positif
"['tetap', 'rendah', 'hati', 'ya', 'para', 'pemain']",Positif
"['alhamdulillah', 'debut', 'yang', 'sangat', 'apik', 'dari', 'seorang', 'emil']",Positif
"['mulyadi', 'debut']",Positif
"['terima', 'kasih', 'sih', 'ini', 'osaka']",Positif
"['setiap', 'kali', 'menonton bareng', 'selalu', 'ada', 'best', 'part', 'ya', 'tersendiri']",Positif
"['aaakkk', 'semangat', 'kalian', 'yuk', 'bisa', 'yuk']",Positif
['terbaik'],Positif
"['gacor', 'kamu', 'pada']",Positif
"['tak', 'banyak', 'bicara', 'berliakliuk', 'di', 'atas', 'lapangan']",Positif
"['diakui', 'bukan', 'mengakui']",Positif
"['wm', 'ya', 'masih', 'enak', 'dilihat', 'tidak', 'kayak', 'dulu']",Positif
"['kambuaya', 'lebih', 'beruntung', 'daripada', 'boaz', 'dia', 'lahir', 'di', 'generasi', 'yang', 'tepat', 'saat', 'erick', 'thohir', 'menjabat', 'levelnya', 'memang', 'sama', 'dengan', 'pemain', 'diaspora']",Positif
"['kenapa', 'tidak', 'dari', 'dulu', 'dulu', 'tuh', 'joy', 'masuk', 'radarnya', 'tim', 'naturalisasi']",Positif
"['bintang', 'kita', 'malam', 'ini', 'dong', 'pastinya', 'kakak', 'kambuaya', 'kang', 'emil', 'ole', 'romeny', 'egy', 'mv']",Positif
"['emilll', 'min', 'baru', 'debut', 'sudah', 'ok', 'banget']",Positif
"['kasih', 'dia', 'waktu', 'di', 'championship', 'dia', 'akan', 'berkontribusi', 'besar']",Positif
"['etam', 'beckham', 'min', 'gacor', 'maennya']",Positif
"['luar', 'biasa', 'kakak', 'ricky', 'kambuaya', 'respect']",Positif
"['selebrasi', 'ole', 'romeny', 'laaah']",Positif
"['setiap', 'pemain', 'ada', 'kualitasnhya', 'masing', 'masing', 'saatnya', 'bilang', 'kelas', 'timnasku']",Positif
"['oh', 'ini', 'toh', 'yang', 'bikin', 'semalam', 'tidak', 'ada', 'bocil', 'bersuara', 'tak', 'merdu', 'pas', 'takbiran']",Positif
"['banyak', 'yang', 'tidak', 'percaya', 'bahwa', 'timnas', 'indonesia', 'sampai', 'di', 'titik', 'ini']",Positif
"['semoga', 'timnas', 'menang', 'di', 'pertandingan', 'selanjutnya']",Positif
"['pastinya', 'nomor', 'punggung', 'beckham', 'putra', 'debut', 'gemilang', 'banyak', 'assist', 'kece', 'selamat', 'menang', 'dan', 'lolos', 'ke', 'tahap', 'selanjutnya']",Positif
"['beckham', 'putra', 'mempertunjukkan', 'kualitas', 'yang', 'dia', 'punya', 'respect']",Positif
"['kita', 'bersyukur', 'kita', 'berhasil', 'perjalanan', 'masih', 'ada', 'tantangan', 'kita', 'harus', 'menang', 'lawan', 'jepang', 'tapi', 'insya', 'allah', 'siapa', 'tahu', 'kali', 'ini', 'kita', 'beruntung', 'bisa', 'masuk', 'piala', 'dunia', 'siapa', 'tahu', 'kata', 'prabowo']",Positif
"['keseruan', 'menonton', 'semalem', 'thanks', 'kado', 'lebarannya', 'bangga', 'banget', 'bisa', 'menonton', 'langsung', 'di', 'gbk', 'setelah', 'berbagai', 'drama', 'yang', 'terjadi', 'terbanglah', 'tinggi', 'garudaku', 'we', 'love', 'you', 'timnas', 'indonesia']",Positif
